District,Member,Party,Prior experience,Education,Assumed office,Residence,Age
Texas 26,Michael C. Burgess,Republican,Physician,"University of North Texas (BS, MS) University of Texas, Houston (MD) University of Texas at Dallas (MS)",2003,Pilot Point[59],(age 72)
Texas 27,Michael Cloud,Republican,Chair of the Victoria County Republican Party,Oral Roberts University (BS),2018 (special),Victoria,(age 48)
Texas 28,Henry Cuellar,Democratic,Texas House of Representatives Texas Secretary of State,"Laredo Community College Georgetown University (BA) University of Texas at Austin (JD, PhD) Texas A&M International University (MA) Naval War College",2005,Laredo,(age 68)
Texas 29,Sylvia Garcia,Democratic,Texas Senate,Texas Woman's University (BA) Texas Southern University (JD),2019,Houston,(age 73)
Texas 30,Jasmine Crockett,Democratic,Texas House of Representatives,Rhodes College (BA) University of Houston (JD),2023,Dallas,(age 42)
Texas 31,John Carter,Republican,Texas state district judge,Texas Tech University (BA) University of Texas at Austin (JD),2003,Round Rock,(age 81)
Texas 32,Colin Allred,Democratic,Attorney Football player,"Baylor University (BA) University of California, Berkeley (JD)",2019,Dallas,(age 40)
Texas 33,Marc Veasey,Democratic,Texas House of Representatives,Texas Wesleyan University (BA),2013,Fort Worth,(age 52)
Texas 34,Vicente Gonzalez,Democratic,Food processing executive Texas State Board of Education,Embry–Riddle Aeronautical University (BA) Texas Wesleyan University (JD),2017,McAllen,(age 56)
Texas 35,Greg Casar,Democratic,Austin City Council,University of Virginia (BA),2023,Austin,(age 34)
Texas 36,Brian Babin,Republican,Lower Neches Valley Authority Texas Historical Commission Mayor of Woodville,"Lamar University (BS) University of Texas, Houston (DDS)",2015,Woodville,(age 75)
Texas 37,Lloyd Doggett,Democratic,Texas Senate Texas Supreme Court justice College professor,"University of Texas at Austin (BA, JD)",1995,Austin,(age 77)
Texas 38,Wesley Hunt,Republican,U.S. Army,"United States Military Academy (BS) Cornell University (MBA, MPA, MA)",2023,Houston,(age 41)
Utah 1,Blake Moore,Republican,United States Foreign Service officer,University of Utah (BA) Northwestern University (MS),2021,Salt Lake City[60],(age 43)
Utah 2,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant
Utah 3,John Curtis,Republican,Mayor of Provo,Brigham Young University (BS),2017 (special),Provo,(age 63)
Utah 4,Burgess Owens,Republican,Businessman National Football League player,University of Miami (BS),2021,Salt Lake City[61],(age 72)
Vermont at-large,Becca Balint,Democratic,President pro tempore of the Vermont Senate Majority leader of the Vermont Senate,Smith College (BA) Harvard University (MEd) University of Massachusetts Amherst (MA),2023,Brattleboro,(age 55)
Virginia 1,Rob Wittman,Republican,Mayor of Montross Westmoreland County Board of Supervisors Virginia House of Delegates,Virginia Tech (BS) University of North Carolina at Chapel Hill (MPH) Virginia Commonwealth University (PhD),2007 (special),Montross,(age 64)
Virginia 2,Jen Kiggans,Republican,Virginia Senate U.S. Navy,Old Dominion University (BSN) Vanderbilt University (MSN),2023,Virginia Beach,(age 52)
Virginia 3,Bobby Scott,Democratic,Virginia Senate Virginia House of Delegates,Harvard University (BA) Boston College (JD),1993,Newport News,(age 76)
Virginia 4,Jennifer McClellan,Democratic,Virginia Senate Virginia House of Delegates,University of Richmond (BA) University of Virginia (JD),2023 (special),Richmond,(age 50)
Virginia 5,Bob Good,Republican,Liberty University Athletic Director Campbell County Board of Supervisors,"Liberty University (BS, MBA)",2021,Lynchburg,(age 58)
Virginia 6,Ben Cline,Republican,Virginia House of Delegates,Bates College (BA) University of Richmond (JD),2019,Fincastle,(age 51)
Virginia 7,Abigail Spanberger,Democratic,CIA operations officer,University of Virginia (BA) Purdue University (MBA),2019,Glen Allen,(age 44)
Virginia 8,Don Beyer,Democratic,U.S. Ambassador to Switzerland and Liechtenstein Lieutenant Governor of Virginia,Williams College (BA) George Mason University,2015,Alexandria,(age 73)
Virginia 9,Morgan Griffith,Republican,Virginia House of Delegates,Emory and Henry College (BA) Washington and Lee University (JD),2011,Salem,(age 65)
Virginia 10,Jennifer Wexton,Democratic,Virginia Senate,"University of Maryland, College Park (BA) College of William and Mary (JD)",2019,Leesburg,(age 55)
Virginia 11,Gerry Connolly,Democratic,Fairfax County Board of Supervisors Chair,"Maryknoll College (Glen Ellyn, Illinois)[62] (BA) Harvard University (MPA)",2009,Fairfax,(age 73)
Washington 1,Suzan DelBene,Democratic,Washington Department of Revenue Director,Reed College (BS) University of Washington (MBA),2012 (special),Medina,(age 61)
Washington 2,Rick Larsen,Democratic,Snohomish County Council,Pacific Lutheran University (BA) University of Minnesota (MPA),2001,Everett[63],(age 58)
Washington 3,Marie Gluesenkamp Perez,Democratic,Washington State Democratic Party executive committee Underwood Soil and Water District Conservation Board of Supervisors Businesswoman,Reed College (BA),2023,Washougal,(age 35)
Washington 4,Dan Newhouse,Republican,Washington House of Representatives,Washington State University (BS),2015,Sunnyside,(age 68)
Washington 5,Cathy McMorris Rodgers,Republican,Washington House of Representatives,Pensacola Christian College (BA) University of Washington (MBA),2005,Spokane[64],(age 54)
Washington 6,Derek Kilmer,Democratic,Washington State Senate,"Princeton University (BA) University of Oxford (MA, PhD)",2013,Gig Harbor[65],(age 49)
Washington 7,Pramila Jayapal,Democratic,Washington State Senate,Georgetown University (BA) Northwestern University (MBA),2017,Seattle,(age 58)
Washington 8,Kim Schrier,Democratic,Pediatrician,"University of California, Berkeley (BS) University of California, Davis (MD)",2019,Sammamish,(age 55)
Washington 9,Adam Smith,Democratic,Washington State Senate,Western Washington University Fordham University (BA) University of Washington (JD),1997,Bellevue,(age 58)
Washington 10,Marilyn Strickland,Democratic,Mayor of Tacoma,University of Washington (BA) Clark Atlanta University (MBA),2021,Tacoma,(age 61)
West Virginia 1,Carol Miller,Republican,West Virginia House of Delegates,"Columbia College, South Carolina (BA)",2019,Huntington[66],(age 72)
West Virginia 2,Alex Mooney,Republican,Maryland Senate,Dartmouth College (BA),2015,Charles Town,(age 52)
Wisconsin 1,Bryan Steil,Republican,Congressional aide Attorney,Georgetown University (BS) University of Wisconsin–Madison (JD),2019,Janesville,(age 42)
Wisconsin 2,Mark Pocan,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison (BA),2013,Vermont[67],(age 59)
Wisconsin 3,Derrick Van Orden,Republican,Actor Author Restaurateur U.S. Navy,Excelsior College (BS) Mitchell Hamline School of Law,2023,Prairie du Chien,(age 54)
Wisconsin 4,Gwen Moore,Democratic,Wisconsin State Senate Wisconsin State Assembly,Marquette University (BA),2005,Milwaukee,(age 72)
Wisconsin 5,Scott Fitzgerald,Republican,Wisconsin State Senate,University of Wisconsin–Oshkosh (BS),2021,Clyman[68],(age 59)
Wisconsin 6,Glenn Grothman,Republican,Wisconsin Senate Wisconsin State Assembly,"University of Wisconsin–Madison (BA, JD)",2015,Glenbeulah[69],(age 68)
Wisconsin 7,Tom Tiffany,Republican,Wisconsin Senate Wisconsin State Assembly,University of Wisconsin–River Falls (BS),2020 (special),Minocqua,(age 65)
Wisconsin 8,Mike Gallagher,Republican,Political advisor U.S. Marine Corps,"Princeton University (BA) National Intelligence University (MS) Georgetown University (MA, MS, PhD)",2017,Green Bay,(age 39)
Wyoming at-large,Harriet Hageman,Republican,Lawyer Law clerk for the U.S. Court of Appeals for the Tenth Circuit,"University of Wyoming (BS, JD)",2023,Cheyenne,(age 61)
