District,Member,Party,Prior experience,Education,Assumed office,Residence,Age
Texas 36,Brian Babin,Republican,Lower Neches Valley Authority Texas Historical Commission Mayor of Woodville,"Lamar University (BS) University of Texas, Houston (DDS)",2015,Woodville,75.0
Texas 37,Lloyd Doggett,Democratic,Texas Senate Texas Supreme Court justice College professor,"University of Texas at Austin (BA, JD)",1995,Austin,77.0
Texas 38,Wesley Hunt,Republican,U.S. Army,"United States Military Academy (BS) Cornell University (MBA, MPA, MA)",2023,Houston,41.0
Utah 1,Blake Moore,Republican,United States Foreign Service officer,University of Utah (BA) Northwestern University (MS),2021,Salt Lake City[60],43.0
Utah 2,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,
Utah 3,John Curtis,Republican,Mayor of Provo,Brigham Young University (BS),2017 (special),Provo,63.0
Utah 4,Burgess Owens,Republican,Businessman National Football League player,University of Miami (BS),2021,Salt Lake City[61],72.0
Vermont at-large,Becca Balint,Democratic,President pro tempore of the Vermont Senate Majority leader of the Vermont Senate,Smith College (BA) Harvard University (MEd) University of Massachusetts Amherst (MA),2023,Brattleboro,55.0
Virginia 1,Rob Wittman,Republican,Mayor of Montross Westmoreland County Board of Supervisors Virginia House of Delegates,Virginia Tech (BS) University of North Carolina at Chapel Hill (MPH) Virginia Commonwealth University (PhD),2007 (special),Montross,64.0
Virginia 2,Jen Kiggans,Republican,Virginia Senate U.S. Navy,Old Dominion University (BSN) Vanderbilt University (MSN),2023,Virginia Beach,52.0
Virginia 3,Bobby Scott,Democratic,Virginia Senate Virginia House of Delegates,Harvard University (BA) Boston College (JD),1993,Newport News,76.0
Virginia 4,Jennifer McClellan,Democratic,Virginia Senate Virginia House of Delegates,University of Richmond (BA) University of Virginia (JD),2023 (special),Richmond,50.0
Virginia 5,Bob Good,Republican,Liberty University Athletic Director Campbell County Board of Supervisors,"Liberty University (BS, MBA)",2021,Lynchburg,58.0
Virginia 6,Ben Cline,Republican,Virginia House of Delegates,Bates College (BA) University of Richmond (JD),2019,Fincastle,51.0
Virginia 7,Abigail Spanberger,Democratic,CIA operations officer,University of Virginia (BA) Purdue University (MBA),2019,Glen Allen,44.0
Virginia 8,Don Beyer,Democratic,U.S. Ambassador to Switzerland and Liechtenstein Lieutenant Governor of Virginia,Williams College (BA) George Mason University,2015,Alexandria,73.0
Virginia 9,Morgan Griffith,Republican,Virginia House of Delegates,Emory and Henry College (BA) Washington and Lee University (JD),2011,Salem,65.0
Virginia 10,Jennifer Wexton,Democratic,Virginia Senate,"University of Maryland, College Park (BA) College of William and Mary (JD)",2019,Leesburg,55.0
Virginia 11,Gerry Connolly,Democratic,Fairfax County Board of Supervisors Chair,"Maryknoll College (Glen Ellyn, Illinois)[62] (BA) Harvard University (MPA)",2009,Fairfax,73.0
Washington 1,Suzan DelBene,Democratic,Washington Department of Revenue Director,Reed College (BS) University of Washington (MBA),2012 (special),Medina,61.0
Washington 2,Rick Larsen,Democratic,Snohomish County Council,Pacific Lutheran University (BA) University of Minnesota (MPA),2001,Everett[63],58.0
Washington 3,Marie Gluesenkamp Perez,Democratic,Washington State Democratic Party executive committee Underwood Soil and Water District Conservation Board of Supervisors Businesswoman,Reed College (BA),2023,Washougal,35.0
Washington 4,Dan Newhouse,Republican,Washington House of Representatives,Washington State University (BS),2015,Sunnyside,68.0
Washington 5,Cathy McMorris Rodgers,Republican,Washington House of Representatives,Pensacola Christian College (BA) University of Washington (MBA),2005,Spokane[64],54.0
Washington 6,Derek Kilmer,Democratic,Washington State Senate,"Princeton University (BA) University of Oxford (MA, PhD)",2013,Gig Harbor[65],49.0
Washington 7,Pramila Jayapal,Democratic,Washington State Senate,Georgetown University (BA) Northwestern University (MBA),2017,Seattle,58.0
Washington 8,Kim Schrier,Democratic,Pediatrician,"University of California, Berkeley (BS) University of California, Davis (MD)",2019,Sammamish,55.0
Washington 9,Adam Smith,Democratic,Washington State Senate,Western Washington University Fordham University (BA) University of Washington (JD),1997,Bellevue,58.0
Washington 10,Marilyn Strickland,Democratic,Mayor of Tacoma,University of Washington (BA) Clark Atlanta University (MBA),2021,Tacoma,61.0
West Virginia 1,Carol Miller,Republican,West Virginia House of Delegates,"Columbia College, South Carolina (BA)",2019,Huntington[66],72.0
West Virginia 2,Alex Mooney,Republican,Maryland Senate,Dartmouth College (BA),2015,Charles Town,52.0
Wisconsin 1,Bryan Steil,Republican,Congressional aide Attorney,Georgetown University (BS) University of Wisconsin–Madison (JD),2019,Janesville,42.0
Wisconsin 2,Mark Pocan,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison (BA),2013,Vermont[67],59.0
Wisconsin 3,Derrick Van Orden,Republican,Actor Author Restaurateur U.S. Navy,Excelsior College (BS) Mitchell Hamline School of Law,2023,Prairie du Chien,54.0
Wisconsin 4,Gwen Moore,Democratic,Wisconsin State Senate Wisconsin State Assembly,Marquette University (BA),2005,Milwaukee,72.0
Wisconsin 5,Scott Fitzgerald,Republican,Wisconsin State Senate,University of Wisconsin–Oshkosh (BS),2021,Clyman[68],59.0
Wisconsin 6,Glenn Grothman,Republican,Wisconsin Senate Wisconsin State Assembly,"University of Wisconsin–Madison (BA, JD)",2015,Glenbeulah[69],68.0
Wisconsin 7,Tom Tiffany,Republican,Wisconsin Senate Wisconsin State Assembly,University of Wisconsin–River Falls (BS),2020 (special),Minocqua,65.0
Wisconsin 8,Mike Gallagher,Republican,Political advisor U.S. Marine Corps,"Princeton University (BA) National Intelligence University (MS) Georgetown University (MA, MS, PhD)",2017,Green Bay,39.0
Wyoming at-large,Harriet Hageman,Republican,Lawyer Law clerk for the U.S. Court of Appeals for the Tenth Circuit,"University of Wyoming (BS, JD)",2023,Cheyenne,61.0
